input_text,product,quantity,price_satuan,pattern
"pesen ayam saos asam nya 10 deh mas [SEP] baik, 55rb ya kak rinciannya ayam saos asam harganya rp55rb",ayam saos asam,10,55000,2
rudi mau pesen 5 soto sukaraja masakan pisahin kuahnya aja [SEP] siap soto sukaraja masakan rp83rb totalnya rp 83.000 kak,soto sukaraja masakan,5,83000,1
pesen wedang jahe prabu nya 17 makasih,wedang jahe prabu,17,-1,2
"pesan 3 brownies sunkist 12 coffeemix susu donggg [SEP] noted kak brownies sunkist 3 97.000 sama coffeemix susu 12 39rb, total 136.000",brownies sunkist & coffeemix susu,3 & 12,-1,4
"juragan sebotol ropang pisang keju susu langsung proses ya ya pak [SEP] halo kak, pesanan ropang pisang keju susu seharga 40rb sudah kami proses, total bayar 40.000",ropang pisang keju susu,sebotol,40000,3
siti order paranoid chicken wings anter sekarang 25 ya [SEP] rincian pesanan: paranoid chicken wings (26000 ribu) jadi 26000k ya kak,paranoid chicken wings,25,26000000,2
"bro pesen nasi urapurap ayam panggang pake ojol yang harganya rp 19000.000 12 jangan lama [SEP] baik, 19000 ribu ya kak rinciannya nasi urapurap ayam panggang harganya rp 19000.000",nasi urapurap ayam panggang,12,19000000,1
mau lima kotak esteh melati medium titipan bos deh [SEP] siap kak esteh melati medium 73rb total rp73rb ya,esteh melati medium,lima kotak,73000,2
pesen ayam geprek ranjau sambal ijo nya 2 deh kak [SEP] ayam geprek ranjau sambal ijo rp 7.000 ya kak jadi 7.000,ayam geprek ranjau sambal ijo,2,7000,3
dewi seporsi ayam penyet tolong buruan gercep ya [SEP] pesanan masuk: ayam penyet x 88k = rp88rb,ayam penyet,seporsi,88000,2
nasi telur pedas wangi tiga seblak mie baso special secup [SEP] siap. nasi telur pedas wangi 908rb & seblak mie baso special 84rb. total semuanya 992k kak,nasi telur pedas wangi & seblak mie baso special,tiga & secup,-1,4
buatin es cokelat susu krim 12,es cokelat susu krim,12,-1,1
"pesan sate barbar ayam 19 makan sini, oh iya sekalian mie ayam ala mami 4 ya [SEP] pesanan: sate barbar ayam 881 ribu, mie ayam ala mami 48.000. Total bayar = 929rb",sate barbar ayam & mie ayam ala mami,19 & 4,-1,4
es boba choco cream gak pake bawang 5 aja terima kasih [SEP] es boba choco cream rp 37.000 ya kak jadi 37.000,es boba choco cream,5,37000,1
nasi ayam penyet jumbo jangan pedes 6 aja ya min [SEP] pesanan masuk: nasi ayam penyet jumbo x rp 38.000 = rp 38.000,nasi ayam penyet jumbo,6,38000,2
kak mau order 24 es milo d coco small tolong buruan cepet ya [SEP] noted kak es milo d coco small rp31rb totalnya rp31rb,es milo d coco small,24,31000,2
23 es pukat level dewa nih [SEP] oke siap kak,es pukat,23,-1,2
order nasi bakar telur langsung proses ya untuk 24 donggg [SEP] rincian pesanan: nasi bakar telur (rp19rb) jadi 19 ribu ya kak,nasi bakar telur,24,19000,1
es jeruk j jangan lama ya dua bungkus aja kak [SEP] total tagihan 521k untuk es jeruk j harga rp 521.000 per item ya,es jeruk j,dua bungkus,521000,2
bapak 21 seblak bakso jeletot level setan porsi double deh min [SEP] oke seblak bakso jeletot level setan harga rp507rb total 507.000 ya kak,seblak bakso jeletot level setan,21,507000,2
gan masih ada nasi tambah? kalau ada mau tiga gelas level dewa deh mas [SEP] siap kak nasi tambah rp 43000.000 total rp 43000.000 ya,nasi tambah,tiga gelas,43000000,2
"reza nasi putih saja satu cup, beneran 67.000 kan deh [SEP] total tagihan 67rb untuk nasi putih saja harga 67.000 per item ya",nasi putih saja,satu cup,67000,3
strawberry tea seplastik es kopyor dua bungkus [SEP] siap. strawberry tea 75k & es kopyor 182.000. total semuanya 257k kak,strawberry tea & es kopyor,seplastik & dua bungkus,-1,4
pesan 24 nasi belut ayam potong pack dong kak,nasi belut ayam potong,24,-1,3
"bapak pesen mie hun goreng special porsi gede yang harganya 63 ribu 25 donggg [SEP] baik, rp63rb ya kak rinciannya mie hun goreng special harganya 63 ribu",mie hun goreng special,25,63000,1
minta sebungkus kwetiau siram buat buka puasa dong bang [SEP] kwetiau siram rp 38000.000 ya kak jadi 38000k,kwetiau siram,sebungkus,38000000,1
beli sei ayam bambu family size 69.000 an sembilan deh min [SEP] pesanan masuk: sei ayam bambu family size x 69.000 = 69k,sei ayam bambu family size,sembilan,69000,1
"bihun gorengkuah level 10 lima porsi aja dong mbak [SEP] halo kak, pesanan bihun gorengkuah seharga rp 55.000 sudah kami proses, total bayar 55rb",bihun gorengkuah,lima porsi,55000,3
minta sepuluh bakmie goreng krengsengan pedas sekali buat makan siang deh bang [SEP] pesanan sedang disiapkan,bakmie goreng krengsengan pedas sekali,sepuluh,-1,3
dewi bisa pesan tiga bungkus risol homemade ayam sayur pedas buat arisan bu [SEP] siap kak risol homemade ayam sayur pedas 18 ribu total rp18rb ya,risol homemade ayam sayur pedas,tiga bungkus,18000,2
beli sebox mie kuah jangan lama ya deh kak [SEP] total tagihan rp 22000.000 untuk mie kuah harga rp22000rb per item ya,mie kuah,sebox,22000000,1
"order sepiring bakso kasar sedang, terus cap cay mie nya tiga gelas deh mas [SEP] pesanan: bakso kasar sedang 296 ribu, cap cay mie 38rb. Total bayar = rp 334.000",bakso kasar sedang & cap cay mie,sepiring & tiga gelas,-1,4
ayam geprek taman kopi level 5 yang 495 ribu pesen se-thinwall langsung ya [SEP] baik kak ayam geprek taman kopi 495 ribu satuan totalnya rp495rb,ayam geprek taman kopi,se-thinwall,495000,3
brownies double choco 22 seblak mie baso special 20 [SEP] siap. brownies double choco 24.000 & seblak mie baso special 24000k. total semuanya 24024rb kak,brownies double choco & seblak mie baso special,22 & 20,-1,4
ping bimbimbapp nasi campur korea jangan lama ya delapan ya bu [SEP] oke kak pesanannya masuk ya,bimbimbapp nasi campur korea,delapan,-1,3
"reza mau pesen 21 nasi goreng merah daging anget aja kah [SEP] halo kak, pesanan nasi goreng merah daging seharga 34k sudah kami proses, total bayar rp34rb",nasi goreng merah daging,21,34000,2
chicken katsu don pake sambel ijo yang rp519rb pesen dua pack tuh [SEP] siap kak chicken katsu don rp519rb total rp519rb ya,chicken katsu don,dua pack,519000,2
bikin sebungkus ayam bakar tolong buruan cepet ya [SEP] noted kak ayam bakar 55.000 totalnya 55.000,ayam bakar,sebungkus,55000,2
"kk roti keset kombinasi 24 sama nasi goreng rumahan tiga porsi jangan lama [SEP] oke kak roti keset kombinasi 24 dan nasi goreng rumahan tiga porsi, totalnya 26116.000",roti keset kombinasi & nasi goreng rumahan,24 & tiga porsi,-1,4
bungkusin 11 ayam empal penyet level dewa matur suwun [SEP] ttl tagihan rp41rb untuk ayam empal penyet harga rp 41.000 per item ya,ayam empal penyet,11,41000,3
aa pesen kwetiau siram santai aja yang harganya 99rb sebox ya gan [SEP] siap kak kwetiau siram 99rb total 99rb ya,kwetiau siram,sebox,99000,1
bungkusin porsi jumbo risol homemade ayam sayur [SEP] noted kak ditunggu ya,risol homemade ayam sayur,porsi jumbo,-1,2
kak mau order lima porsi soes keju yang kyk biasa sekarang ya [SEP] noted kak soes keju 776rb totalnya rp776rb,soes keju,lima porsi,776000,1
4 mie ayam telor tolong buruan deh [SEP] baik kak,mie ayam telor,4,-1,2
bikinin gorengan penyet seporsi jangan pedes saja [SEP] siap gorengan penyet 43000 ribu totalnya 43000 ribu kak,gorengan penyet,seporsi,43000000,2
"kak teh hijau yang kyk biasa tiga gelas ya mas [SEP] baik, 35k ya kak rinciannya teh hijau harganya 35rb",teh hijau,tiga gelas,35000,2
"kak mau order 2 pe tnpa nasi porsi kecil deh mmz [SEP] baik, rp 860.000 ya kak rinciannya pe tanpa nasi harganya 860 rb",pe tanpa nasi,2,860000,3
"buatin caramel latte buat makan siang 4 kok [SEP] baik, 562rb ya kak rinciannya caramel latte harganya 562.000",caramel latte,4,562000,2
"pesan bakso ayam frozen 18 anter sekarang, oh iya sekalian keju wijen susu dua thinwall ya [SEP] baik kak, 18 bakso ayam frozen (15000k) + dua thinwall keju wijen susu (23k) = 15023.000 ya",bakso ayam frozen & keju wijen susu,18 & dua thinwall,-1,4
"pesan tiga botol mie gobyoss beefpentol 16 kaki ayam masak kecap kah [SEP] siap kak, mie gobyoss beefpentol 10rb dan kaki ayam masak kecap 59.000, jadi total 69k ya",mie gobyoss beefpentol & kaki ayam masak kecap,tiga botol & 16,-1,4
mau bakwan siram bumbu pecaljus jumlahnya 11 donggg [SEP] bakwan siram bumbu pecaljus rp8rb ya kak jadi rp8rb,bakwan siram bumbu pecaljus,11,8000,1
"tujuh mie rebus sepiring kopi charcoal [SEP] siap kak, mie rebus 201.000 dan kopi charcoal 13rb, jadi total rp214rb ya",mie rebus & kopi charcoal,tujuh & sepiring,-1,4
minta segelas ayam penyet kremes gak pake bawang jangan lama [SEP] oke kak ayam penyet kremes harganya 628k totalnya 628rb,ayam penyet kremes,segelas,628000,1
dewi pesen bihun goreng telur bebek pake kotak yang harganya rp813rb dua jangan lama [SEP] siap kak bihun goreng telur bebek rp813rb total 813rb ya,bihun goreng telur bebek,dua,813000,3
seporsi extra kulit ayam krispy 2 thai tea [SEP] siap. extra kulit ayam krispy rp77rb & thai tea 8000 ribu. total semuanya 8077.000 kak,extra kulit ayam krispy & thai tea,seporsi & 2,-1,4
"bapaak butterscoth latte ice 4, beneran rp7000rb kan gan [SEP] baik, rp 7000.000 ya kak rinciannya butterscoth latte ice hrgny rp7000rb",butterscoth latte ice,4,7000000,3
"25 ayam geprek sambal bawang lima cup nasi kepiting nongki [SEP] baik kak, 25 ayam geprek sambal bawang (71.000) + lima cup nasi kepiting nongki (79rb) = 150k ya",ayam geprek sambal bawang & nasi kepiting nongki,25 & lima cup,-1,4
pakde 21 es cincau pake ojol sekarang ya [SEP] siap es cincau rp3000rb totalnya 3000rb kak,es cincau,21,3000000,2
gan pesen martabak coklat kacang bumbu pisah yang harganya 445 ribu 18 yaaa [SEP] martabak coklat kacang 445 ribu ya kak jadi rp 445.000,martabak coklat kacang,18,445000,2
pesan 7 bbq chicken paket langsung ya [SEP] siap bbq chicken 20000k totalnya rp 20000.000 kak,bbq chicken,7,20000000,2
"andi tamoe chicken wings 24 sama indomie breaky sembilan ya gan [SEP] baik kak, 24 tamoe chicken wings (212.000) + sembilan indomie breaky (43000k) = 43212k ya",tamoe chicken wings & indomie breaky,24 & sembilan,-1,4
buatin chicken wings nyayap bulgogi boom sebungkus,chicken wings nyayap bulgogi boom,sebungkus,-1,3
hallo malam pesen nasi goreng dprapatan anter sekarang yang harganya 77k seporsi deh bang [SEP] siap kak nasi goreng dprapatan 77k total 77 ribu ya,nasi goreng dprapatan,seporsi,77000,2
"bisa pesan dua paket smoothies chocolate porsi double langsung ya [SEP] halo kak, pesanan smoothies chocolate seharga 622rb sudah kami proses, total bayar 622.000",smoothies chocolate,dua paket,622000,1
"pesan dua mangkuk nasi nila saos tiram pake sambel ijo dehh [SEP] siap, segera diproses",nasi nila saos tiram,dua mangkuk,-1,1
"small ice taro dua nasi bungkus kerang 8 [SEP] baik kak, dua small ice taro (99.000) + 8 nasi bungkus kerang (207.000) = 306.000 ya",small ice taro & nasi bungkus kerang,dua & 8,-1,4
ani porsi kecil es taro latte buat acara keluarga dong mas [SEP] oke siap kak,es taro latte,porsi kecil,-1,1
gan nasi penyet telortempetahu gak pake bawang 3 dong mbak [SEP] rincian pesanan: nasi penyet telortempetahu (3000.000) jadi 3000rb ya kak,nasi penyet telortempetahu,3,3000000,2
bungkusin 15 sop ayam ras setengah porsi aja [SEP] noke kak sop ayam ras hrgny rp26000rb totalnya 26000k,sop ayam ras,15,26000000,3
"pesan tiga piring ayam bakar nasi dua cup cwie mie level tk thanks [SEP] oke kak ayam bakar nasi tiga piring dan cwie mie level tk dua cup, totalnya rp 83.000",ayam bakar nasi & cwie mie level tk,tiga piring & dua cup,-1,4
"martabak telor goreng dua botol + indomie rebus telur 11 ya [SEP] baik kak, dua botol martabak telor goreng (99rb) + 11 indomie rebus telur (rp 455.000) = rp 554.000 ya",martabak telor goreng & indomie rebus telur,dua botol & 11,-1,4
cuy 22 bayam tumis bersantan level dewa tuh [SEP] oke kak bayam tumis bersantan harganya rp6000rb totalnya rp6000rb,bayam tumis bersantan,22,6000000,3
"mau nasi sambal udang asam sunti jumlahnya lima mangkuk ya bu [SEP] baik, 926.000 ya kak rinciannya nasi sambal udang asam sunti harganya 926.000",nasi sambal udang asam sunti,lima mangkuk,926000,2
hallo pagi 12 nasi liwet yang kyk biasa ya kak,nasi liwet,12,-1,3
"wr wb ayam penyet kesan 8, beneran 854rb kan kok [SEP] pesanan masuk: ayam penyet kesan x 854rb = rp 854.000",ayam penyet kesan,8,854000,1
mau cap cay mie jumlahnya dua plastik dehh [SEP] noted kak ditunggu ya,cap cay mie,dua plastik,-1,1
gan order ayam penyet sambal ijo bawa pulang 6 dtnggu [SEP] rincian pesanan: ayam penyet sambal ijo (57rb) jadi 57.000 ya kak,ayam penyet sambal ijo,6,57000,3
nitip dua mika bakwan siomay penyet extra pedas donggg [SEP] total tagihan 44000k untuk bakwan siomay penyet harga rp44000rb per item ya,bakwan siomay penyet,dua mika,44000000,2
"pesan 17 bicopi chocolate taro jangan pedes deh kak [SEP] baik, rp 57.000 ya kak rinciannya bicopi chocolate taro harganya 57 ribu",bicopi chocolate taro,17,57000,2
kak mau pesen sebungkus soto pemalang masakan pake ojol ya bu [SEP] siap kak,soto pemalang masakan,sebungkus,-1,1
boleh pesan 12 bebek goreng plus nasi paket dong bang [SEP] bebek goreng plus nasi rp41000rb ya kak jadi 41000k,bebek goreng plus nasi,12,41000000,1
mau pesen buat 9 bakso urat besar extra pedas kah [SEP] bakso urat besar 74k ya kak jadi 74.000,bakso urat besar,9,74000,1
jus mangga 14 + nasi goreng pete 22 ya [SEP] siap. jus mangga 237 ribu & nasi goreng pete rp27000rb. total semuanya 27237.000 kak,jus mangga & nasi goreng pete,14 & 22,-1,4
boleh pesan 3 nasi ayam crispy criuk buat acara keluarga dulu [SEP] oke nasi ayam crispy criuk harga 76.000 total rp76rb ya kak,nasi ayam crispy criuk,3,76000,2
"pesen nasi goreng smoke beef nya empat dong min [SEP] baik, langsung kami buatkan",nasi goreng smoke beef,empat,-1,1
"buatin nasi udang tepung penyet titipan bos 21 saja [SEP] baik, rp 19.000 ya kak rinciannya nasi udang tepung penyet harganya rp 19.000",nasi udang tepung penyet,21,19000,2
order opak mie gb sambal embe extra pedas untuk setengah thx ya [SEP] pesanan masuk: opak mie gb sambal embe x rp793rb = 793 ribu,opak mie gb sambal embe,setengah,793000,3
buatin es kopi susu gula aren titipan bos lima pack buruan ya [SEP] oke es kopi susu gula aren harga 37000 ribu total 37000.000 ya kak,es kopi susu gula aren,lima pack,37000000,1
aku pesen dua box nasi goreng biasa sekalian sayap ayam 22 ya [SEP] siap. nasi goreng biasa 31000 ribu & sayap ayam rp 612.000. total semuanya rp31612rb kak,nasi goreng biasa & sayap ayam,dua box & 22,-1,4
"nasi goreng merah daging santai aja dua, special ayam geprek mozarella 25 gan [SEP] pesanan: nasi goreng merah daging 815rb, special ayam geprek mozarella 32000 ribu. Total bayar = rp 32815.000",nasi goreng merah daging & special ayam geprek mozarella,dua & 25,-1,4
"p pesen kwetiau siram porsi gede yang harganya rp64rb lima porsi gercep ya [SEP] baik, 64 ribu ya kak rinciannya kwetiau siram harganya rp64rb",kwetiau siram,lima porsi,64000,2
"mau segelas biasa ayam tambah 24 nasi ikan tuna sambal matah oke ditunggu [SEP] pesanan: biasa ayam rp 22.000, nasi ikan tuna sambal matah 55rb. Total bayar = 77k",biasa ayam & nasi ikan tuna sambal matah,segelas & 24,-1,4
andi 16 mie goreng udang level 5 deh bang [SEP] rincian pesanan: mie goreng udang (45 ribu) jadi 45.000 ya kak,mie goreng udang,16,45000,2
"17 teh susu hazelnut coklat 10 risol homemade ayam sayur [SEP] pesanan: teh susu hazelnut coklat 5000 ribu, risol homemade ayam sayur rp189rb. Total bayar = rp5189rb",teh susu hazelnut coklat & risol homemade ayam sayur,17 & 10,-1,4
hallo sore nasi telor balado pisahin kuahnya 16 thx ya [SEP] oke siap kak,nasi telor balado,16,-1,2
bungkusin 14 teh susu milo kecil buat makan siang yaaa [SEP] oke kak teh susu milo kecil harganya 49.000 totalnya 49k,teh susu milo kecil,14,49000,2
bg ayam sambal merah pake sambel ijo lima cup makasih [SEP] noted kak ayam sambal merah 99.000 totalnya rp 99.000,ayam sambal merah,lima cup,99000,1
minta 14 nasi kuning pake kotak gan [SEP] pesanan sedang disiapkan,nasi kuning,14,-1,3
"es susu pandan m 24 + nasi pecel sepaket ya [SEP] noted kak es susu pandan m 24 96 ribu sama nasi pecel sepaket 87k, total rp 183.000",es susu pandan m & nasi pecel,24 & sepaket,-1,4
bude pesen sayur sop yang kyk biasa yang harganya rp743rb dua botol nih [SEP] baik kak sayur sop rp743rb satuan totalnya 743 ribu,sayur sop,dua botol,743000,2
mau nasi limpa jumlahnya tiga piring ya mas [SEP] pesanan sedang disiapkan,nasi limpa,tiga piring,-1,3
iga penyet nasi sebungkus ya ping [SEP] noted kak iga penyet nasi 62 ribu totalnya 62.000,iga penyet nasi,sebungkus,62000,2
"joko pesen lima cup capcay bakso dan 9 udang kelong goreng m deh min [SEP] baik kak, lima cup capcay bakso (rp8000rb) + 9 udang kelong goreng m (59rb) = 8059.000 ya",capcay bakso & udang kelong goreng m,lima cup & 9,-1,4
"bikinin chicken cibcib 5 porsi kecil yaaa [SEP] baik, 73 ribu ya kak rinciannya chicken cibcib harganya rp 73.000",chicken cibcib,5,73000,2
pesen nasi goreng jumbo nyam nyam nya 11 dong mas [SEP] pesanan sedang disiapkan,nasi goreng jumbo nyam nyam,11,-1,2
"bg sop jamur 12 sama nasi gurih telur asin 22 deh kak [SEP] siap kak, sop jamur 187rb dan nasi gurih telur asin rp 12.000, jadi total rp 199.000 ya",sop jamur & nasi gurih telur asin,12 & 22,-1,4
assalamualaikum order cheesy chicken cutlet curry buat bekel sekolah 10 thanks [SEP] rincian pesanan: cheesy chicken cutlet curry (rp 96.000) jadi 96rb ya kak,cheesy chicken cutlet curry,10,96000,1
"pesan 2 combo ayam geprek mozarella porsi double aja [SEP] oke, mohon ditunggu sebentar ya",combo ayam geprek mozarella,2,-1,2
sekotak ayam pecak nasi + 7 jus semangka ya kak [SEP] siap. ayam pecak nasi rp 437.000 & jus semangka 96rb. total semuanya rp 533.000 kak,ayam pecak nasi & jus semangka,sekotak & 7,-1,4
bapak es batu air es dua paket deh mamas [SEP] pesanan masuk: es batu air es x 314rb = rp 314.000,es batu air es,dua paket,314000,3
nitip dua pack pecel reog nasi pake sambel ijo makasih [SEP] rincian pesanan: pecel reog nasi (25 ribu) jadi 25k ya kak,pecel reog nasi,dua pack,25000,3
order es campur rumput laut jangan pedes untuk empat ya bang [SEP] pesanan masuk: es campur rumput laut x rp 70.000 = 70k,es campur rumput laut,empat,70000,2
pesan 10 iga penyet nasi dibungkus ya mas [SEP] siap kak iga penyet nasi rp92rb total 92k ya,iga penyet nasi,10,92000,1
wr wb sei ayam bambu family size  dibikin 8 ya [SEP] baik kak sei ayam bambu family size rp 14000.000 satuan totalnya 14000rb,sei ayam bambu family size,8,14000000,2
kerupuk mie kuning goreng tiga cup mie kuning jawagorengkuah 9 [SEP] siap. kerupuk mie kuning goreng 40rb & mie kuning jawagorengkuah rp154rb. total semuanya 194rb kak,kerupuk mie kuning goreng & mie kuning jawagorengkuah,tiga cup & 9,-1,4
"cuy sedus nasi bungkus udang sambalado buat makan siang oke ditunggu [SEP] halo kak, pesanan nasi bungkus udang sambalado seharga 28.000 sudah kami proses, total bayar 28 ribu",nasi bungkus udang sambalado,sedus,28000,2
bungkusin 16 ayam geprek sambal ladopotong level 10 dong mas [SEP] oke kak ayam geprek sambal ladopotong harganya rp92rb totalnya 92rb,ayam geprek sambal ladopotong,16,92000,2
deni masih ada belut goreng telur asin? kalau ada mau semika extra pedas ya mas [SEP] noted kak belut goreng telur asin 905.000 totalnya rp 905.000,belut goreng telur asin,semika,905000,2
beli double jus jambu merah 62k an 18 dulu [SEP] oke kak double jus jambu merah harganya 62k totalnya 62 ribu,double jus jambu merah,18,62000,2
p masih ada bakso gepeng? kalau ada mau 15 buat acara keluarga dulu [SEP] oke bakso gepeng harga 46rb total rp 46.000 ya kak,bakso gepeng,15,46000,2
siang es pop ice coklat buat arisan dibikin sebungkus ya [SEP] okeh es pop ice coklat harga rp83rb total 83rb ya kak,es pop ice coklat,sebungkus,83000,3
buatin topping ayam anget aja 7 loh [SEP] noted kak topping ayam 224k totalnya 224 ribu,topping ayam,7,224000,2
siti masih ada sate ayam kulit? kalau ada mau sebox pake sambel ijo dulu [SEP] oke sate ayam kulit harga 61rb total 61 ribu ya kak,sate ayam kulit,sebox,61000,1
mau tiga bungkus soto jeroan masakan buat bekel sekolah deh kak [SEP] oke soto jeroan masakan harga 33000 ribu total 33000k ya kak,soto jeroan masakan,tiga bungkus,33000000,2
"order 20 bayam tumis bersantan, terus cumi penyet nya 19 ya mbak [SEP] pesanan: bayam tumis bersantan rp 652.000, cumi penyet rp 7.000. Total bayar = rp 659.000",bayam tumis bersantan & cumi penyet,20 & 19,-1,4
"bikin tiga porsi pisang goreng crispy untuk anak saya terima kasih [SEP] halo kak, pesanan pisang goreng crispy seharga 981.000 sudah kami proses, total bayar 981 ribu",pisang goreng crispy,tiga porsi,981000,1
"bude pesen 16 es cappuchino dan 9 nasi goreng dagingtelor yaaa [SEP] baik kak, 16 es cappuchino (83rb) + 9 nasi goreng dagingtelor (rp146rb) = 229k ya",es cappuchino & nasi goreng dagingtelor,16 & 9,-1,4
"sore nasi bebek mumer lima porsi cepet ya [SEP] oke, mohon ditunggu sebentar ya",nasi bebek mumer,lima porsi,-1,1
hallo sore bisa pesan 13 mie thuk thuk porsi double terima kasih [SEP] oke mie thuk thuk harga 542.000 total rp 542.000 ya kak,mie thuk thuk,13,542000,1
pesan 7 es leci porsi double ya bang [SEP] baik kak,es leci,7,-1,2
bungkusin empat bihun goreng sosis buat makan siang deh mas [SEP] noted kak bihun goreng sosis 846k totalnya 846 ribu,bihun goreng sosis,empat,846000,2
beli 17 bakso pisahin kuahnya cepet ya [SEP] pesanan masuk: bakso x rp80rb = rp80rb,bakso,17,80000,1
assalamualaikum nasi goreng merah udang tolong buruan sembilan dong bang [SEP] noted kak nasi goreng merah udang rp 40.000 totalnya 40rb,nasi goreng merah udang,sembilan,40000,1
juragan 2 es krim single buat makan siang ditunggu [SEP] oke kak pesanannya masuk ya,es krim single,2,-1,3
mau sembilan nasi bakar tambah 14 nasi belut telor dong min [SEP] siap. nasi bakar 91k & nasi belut telor 301rb. total semuanya rp 392.000 kak,nasi bakar & nasi belut telor,sembilan & 14,-1,4
nasi bungkus kari kambing porsi gede bungkus dan porsi gede popcorn chicken honey matur suwun [SEP] siap. nasi bungkus kari kambing 13rb & popcorn chicken honey 75.000. total semuanya 88.000 kak,nasi bungkus kari kambing & popcorn chicken honey,porsi gede & porsi gede,-1,4
kk bihun rebus  dibikin sebungkus ya [SEP] baik kak bihun rebus 87.000 satuan totalnya rp87rb,bihun rebus,sebungkus,87000,1
nitip tiga gelas mie rebus setengah porsi kak [SEP] total tagihan rp150rb untuk mie rebus harga rp 150.000 per item ya,mie rebus,tiga gelas,150000,2
minta 18 soto daaging pake qris ya bu [SEP] siap kak soto daaging rp 495.000 total 495.000 ya,soto daaging,18,495000,1
nasi goreng pete 6 ya pakde [SEP] noted kak nasi goreng pete 32000rb totalnya 32000.000,nasi goreng pete,6,32000000,1
21 nasi beef shortplate karamel gurih porsi gede matur suwun,nasi beef shortplate karamel gurih,21,-1,2
"putri ayam penyet mini no nasi 12 sama ropang pisang keju susu 15 pak [SEP] noted kak ayam penyet mini no nasi 12 615rb sama ropang pisang keju susu 15 41.000, total 656 ribu",ayam penyet mini no nasi & ropang pisang keju susu,12 & 15,-1,4
"bude tahu crispy semika cepet ya [SEP] siap, segera diproses",tahu crispy,semika,-1,2
"mau 17 es teh manis tambah sepiring seblak kwetiau cuanki dehh [SEP] noted kak es teh manis 17 20 ribu sama seblak kwetiau cuanki sepiring 13 ribu, total 33.000",es teh manis & seblak kwetiau cuanki,17 & sepiring,-1,4
beli mie nyemek jumbo rp44rb an enam [SEP] noted kak mie nyemek jumbo rp44rb totalnya rp44rb,mie nyemek jumbo,enam,44000,2
"aku pesen sebungkus tahu bakso daging pedas sekalian bakwan siram bumbu pecaljus 7 ya [SEP] pesanan: tahu bakso daging pedas 312 ribu, bakwan siram bumbu pecaljus rp40rb. Total bayar = 352k",tahu bakso daging pedas & bakwan siram bumbu pecaljus,sebungkus & 7,-1,4
nasi telur pedes wangi extra pedes yang 506 ribu pesen dua pack siap ditunggu [SEP] okeh nasi telur pedas wangi harga 506 ribu ttl 506k ya kak,nasi telur pedas wangi,dua pack,506000,3
es nutri sarisweet orange 11 ya admin [SEP] oke es nutri sarisweet orange harga 781.000 total 781.000 ya kak,es nutri sarisweet orange,11,781000,1
"sore chicken biryani single sebotol, beneran 766 ribu kan ya pak [SEP] oke kak chicken biryani single harganya 766 ribu totalnya 766 ribu",chicken biryani single,sebotol,766000,2
nasi campur krengsengan sepiring ya teh [SEP] siap kak nasi campur krengsengan 33 ribu total 33.000 ya,nasi campur krengsengan,sepiring,33000,1
dua bungkus teh kundur [SEP] oke kak pesanannya masuk ya,teh kundur,dua bungkus,-1,3
"lamian ayam tim tiga bungkus nasi chicken matah sauce tiga bungkus [SEP] oke kak lamian ayam tim tiga bungkus dan nasi chicken matah sauce tiga bungkus, totalnya 771rb",lamian ayam tim & nasi chicken matah sauce,tiga bungkus & tiga bungkus,-1,4
pesan tiga porsi ifumie gorengkuah seafood lima mangkuk nasi bebek mumer thx ya [SEP] siap. ifumie gorengkuah seafood rp85rb & nasi bebek mumer 65 ribu. total semuanya 150rb kak,ifumie gorengkuah seafood & nasi bebek mumer,tiga porsi & lima mangkuk,-1,4
mau pesen buat sekotak nasi ayam taliwang buat bekel sekolah dong mbak [SEP] noted kak nasi ayam taliwang 889k totalnya 889 ribu,nasi ayam taliwang,sekotak,889000,2
pesen chicken quesadillas nya sepuluh langsung ya [SEP] siaap kak chicken quesadillas rp 29000.000 total 29000rb ya,chicken quesadillas,sepuluh,29000000,3
mau pesen buat 8 nasi goreng spesial pedes mampus jangan lama [SEP] total tagihan rp77rb untuk nasi goreng spesial harga 77rb per item ya,nasi goreng spesial,8,77000,1
mau endog fried chicken jumlahnya segelas deh mbak [SEP] siap kak endog fried chicken 91rb total 91rb ya,endog fried chicken,segelas,91000,1
nasi campur empal buat buka puasa dua pack aja thanks [SEP] siap nasi campur empal rp32rb totalnya rp32rb kak,nasi campur empal,dua pack,32000,2
tolong siapin 5 indomie goreng spesial gak pake bawang deh kak [SEP] oke kak indomie goreng spesial harganya 12.000 totalnya rp 12.000,indomie goreng spesial,5,12000,1
mau roti sosis ayam jumlahnya dua cup donggg,roti sosis ayam,dua cup,-1,2
mau 18 ceker mix bakso mercon porsi double ya [SEP] total tagihan 416k untuk ceker mix bakso mercon harga rp 416.000 per item ya,ceker mix bakso mercon,18,416000,3
boleh pesan 1 tahu crispy pedes mampus matur suwun [SEP] total tagihan rp 25000.000 untuk tahu crispy harga rp25000rb per item ya,tahu crispy,1,25000000,1
assalamualaikum masih ada susu kocok boba coklat? kalau ada mau se-thinwall porsi double siap ditunggu [SEP] oke kak susu kocok boba coklat harganya rp37000rb totalnya 37000 ribu,susu kocok boba coklat,se-thinwall,37000000,1
bikin 6 es josua buat bekel sekolah siap ditunggu [SEP] total tagihan 18k untuk es josua harga 18rb per item ya,es josua,6,18000,1
